chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist
chr1	101031951	-	hg38	27	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	LOC102606465	TRUE	+	FALSE	0	COL11A1	1844514
chr1	1226710	-	hg38	181	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SDF4	TRUE	-	FALSE	0	MIB2	-388703
chr1	13735550	-	hg38	126	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	PRDM2	TRUE	+	FALSE	0	PRDM2	0
chr1	1397156	-	hg38	4	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CCNL2	TRUE	-	FALSE	0	MIB2	-218257
chr1	145771131	-	hg38	63	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RNF115	TRUE	-	FALSE	-0	PIAS3	77389
chr1	150089850	-	hg38	3	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	VPS45	TRUE	+	FALSE	0	APH1A	175547
chr1	150467690	-	hg38	12	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	RPRD2	TRUE	+	FALSE	-0	ECM1	-40319
chr1	151093346	-	hg38	168	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	GABPB2	TRUE	+	TRUE	0	MLLT11	24848
chr1	1656099	-	hg38	89	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	CDK11B	TRUE	-	FALSE	0	CDK11B	0
chr1	167947852	-	hg38	269	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	DCAF6	TRUE	+	FALSE	0	GPR161	131688
chr1	169647167	-	hg38	134	C4_Top	xxx	GTSP5387	T-CELLS	1	1	0.18018018018018017	SELP	FALSE	-	FALSE	-17027	SELE	75471
