chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist	posid
chr1	100265856	-	hg38	2374	p402	402	GTSP3599	PBMC	M21	6	0.4032258064516129	RTCA-AS1	TRUE	-	TRUE	0	COL11A1	2610609	chr1-100265856
chr1	107940073	-	hg38	511	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	VAV3	TRUE	-	FALSE	0	VAV3	0	chr1-107940073
chr1	111203483	-	hg38	386	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	DENND2D	TRUE	-	FALSE	0	WDR77	236405	chr1-111203483
chr1	1145206	-	hg38	76	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LINC01342	FALSE	+	FALSE	1149	MIB2	-470207	chr1-1145206
chr1	147540719	-	hg38	8	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	BCL9	FALSE	+	FALSE	-780	BCL9	-780	chr1-147540719
chr1	156893292	-	hg38	22	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PEAR1	FALSE	+	FALSE	-404	PEAR1	-404	chr1-156893292
chr1	160838767	-	hg38	10	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CD244	TRUE	-	FALSE	-0	USF1	200482	chr1-160838767
chr1	16514872	-	hg38	2	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	RNU1-1	FALSE	-	FALSE	-586	EPHA2	-358762	chr1-16514872
chr1	16540021	-	hg38	9	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LINC01783	FALSE	-	FALSE	-4368	EPHA2	-383911	chr1-16540021
chr1	165630026	-	hg38	5148	p402	402	GTSP3599	PBMC	M21	9	0.6048387096774194	MGST3	FALSE	+	FALSE	-845	PBX1	743978	chr1-165630026
chr1	172206515	-	hg38	17	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	DNM3	TRUE	+	FALSE	-0	TNFSF18	834703	chr1-172206515
chr1	173206564	-	hg38	1233	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TNFSF4	TRUE	-	FALSE	0	TNFSF18	-155600	chr1-173206564
chr1	199932055	-	hg38	2520	p402	402	GTSP3599	PBMC	M21	6	0.4032258064516129	NR5A2	FALSE	+	FALSE	-95545	ZNF281	472890	chr1-199932055
chr1	220881597	-	hg38	1621	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	HLX	TRUE	+	FALSE	0	DUSP10	819821	chr1-220881597
chr1	221962052	-	hg38	1393	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LINC02257	TRUE	-	FALSE	0	DUSP10	-219875	chr1-221962052
chr1	233082148	-	hg38	1853	p402	402	GTSP3599	PBMC	M21	7	0.47043010752688175	PCNX2	TRUE	-	FALSE	-0	IRF2BP2	1522119	chr1-233082148
chr1	243496142	-	hg38	223	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SDCCAG8,AKT3	TRUE	+,-	FALSE	-0	SDCCAG8,AKT3	-0	chr1-243496142
chr1	246784646	-	hg38	426	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	LINC01341	FALSE	+	FALSE	-4969	SMYD3	-277303	chr1-246784646
chr1	247547409	-	hg38	645	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	GCSAML	TRUE	+	FALSE	-0	SMYD3	-1040066	chr1-247547409
chr1	2846418	-	hg38	2	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TTC34	FALSE	-	FALSE	-56752	PRDM16	-222758	chr1-2846418
chr1	2862849	-	hg38	298	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	TTC34	FALSE	-	FALSE	-73183	PRDM16	-206327	chr1-2862849
chr1	28668149	-	hg38	5	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	GMEB1	FALSE	+	FALSE	-577	PTPRU	-568365	chr1-28668149
chr1	33097268	-	hg38	9	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	AZIN2	TRUE	+	FALSE	0	TRIM62	48132	chr1-33097268
chr1	36372030	-	hg38	2999	p402	402	GTSP3599	PBMC	M21	3	0.20161290322580644	STK40	TRUE	-	FALSE	0	THRAP3	66672	chr1-36372030
chr1	3897016	-	hg38	48	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	C1orf174	TRUE	-	FALSE	0	TP73	160814	chr1-3897016
chr1	39195523	-	hg38	99	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	MACF1	TRUE	+	FALSE	0	MACF1	0	chr1-39195523
chr1	59083592	-	hg38	968	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LINC01358	TRUE	+	FALSE	-0	JUN	-299478	chr1-59083592
chr1	66439457	-	hg38	2045	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	PDE4B	FALSE	+	FALSE	64877	MIER1	-485436	chr1-66439457
chr1	89722936	-	hg38	57	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	LRRC8C	FALSE	+	FALSE	3400	GBP1	-657575	chr1-89722936
chr1	9893820	-	hg38	159	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CTNNBIP1	TRUE	-	FALSE	0	PIK3CD	164894	chr1-9893820
chr1	100354790	+	hg38	244	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CDC14A	TRUE	+	FALSE	0	COL11A1	2521675	chr1+100354790
chr1	101263956	+	hg38	3480	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	S1PR1	FALSE	+	FALSE	22435	COL11A1	1612509	chr1+101263956
chr1	108078433	+	hg38	83	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SLC25A24	FALSE	-	FALSE	56287	VAV3	-113509	chr1+108078433
chr1	108645105	+	hg38	10	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	HENMT1	FALSE	-	FALSE	3181	VAV3	-680181	chr1+108645105
chr1	110878757	+	hg38	50	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	CD53	TRUE	+	FALSE	0	CD53	0	chr1+110878757
chr1	11732281	+	hg38	353	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	AGTRAP	FALSE	+	FALSE	-3802	MTHFR	53447	chr1+11732281
chr1	145281627	+	hg38	10	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	RNVU1-14	FALSE	+	FALSE	347	PIAS3	566893	chr1+145281627
chr1	145999110	+	hg38	4	p402	402	GTSP3599	PBMC	M21	2	0.13440860215053765	TXNIP	FALSE	-	FALSE	-2478	PIAS3	-140028	chr1+145999110
chr1	146000198	+	hg38	2	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	TXNIP	FALSE	-	FALSE	-3566	PIAS3	-141116	chr1+146000198
chr1	149445539	+	hg38	2	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	NBPF19	FALSE	+	FALSE	-30357	PDE4DIP	412519	chr1+149445539
chr1	154956419	+	hg38	1229	p402	402	GTSP3599	PBMC	M21	7	0.47043010752688175	PBXIP1	FALSE	-	FALSE	-255	SHC1	5877	chr1+154956419
chr1	169339236	+	hg38	1034	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	NME7	TRUE	-	FALSE	0	SELE	383402	chr1+169339236
chr1	169668119	+	hg38	6	p402	402	GTSP3599	PBMC	M21	1	0.06720430107526883	SELL	FALSE	-	FALSE	22544	SELE	54519	chr1+169668119
